dataZone,councilArea,SIMD2020CrimeDomainRank,crimeCount,crimeRate
S01006506,Aberdeen City,4664,11,125
S01006507,Aberdeen City,4602,10,128
S01006508,Aberdeen City,4563.5,8,130
S01006509,Aberdeen City,5626,4,75
S01006510,Aberdeen City,3885,11,168
S01006511,Aberdeen City,6928,*,*
S01006512,Aberdeen City,4528,7,132
S01006513,Aberdeen City,6928,*,*
S01006514,Aberdeen City,5507,9,81
S01006515,Aberdeen City,6844,*,*
S01006516,Aberdeen City,4580,8,129
S01006517,Aberdeen City,5594,8,77
S01006518,Aberdeen City,6792,*,*
S01006519,Aberdeen City,5628,7,75
S01006520,Aberdeen City,6928,*,*
S01006521,Aberdeen City,5889,5,64
S01006522,Aberdeen City,6273,3,45
S01006523,Aberdeen City,5000,10,106
S01006524,Aberdeen City,6586,3,29
S01006525,Aberdeen City,5803,6,67
S01006526,Aberdeen City,5840,6,66
S01006527,Aberdeen City,2692,19,255
S01006528,Aberdeen City,3786,20,176
S01006529,Aberdeen City,1432,38,413
S01006530,Aberdeen City,2494,21,271
S01006531,Aberdeen City,2237,28,300
S01006532,Aberdeen City,3342,16,204
S01006533,Aberdeen City,4095,11,155
S01006534,Aberdeen City,3383,19,201
S01006535,Aberdeen City,4257,15,145
S01006536,Aberdeen City,1729,36,363
S01006537,Aberdeen City,6866,*,*
S01006538,Aberdeen City,6731,*,*
S01006539,Aberdeen City,5867,5,65
S01006540,Aberdeen City,5378,8,87
S01006541,Aberdeen City,6463,3,35
S01006542,Aberdeen City,5703,8,72
S01006543,Aberdeen City,6928,*,*
S01006544,Aberdeen City,6663,3,24
S01006545,Aberdeen City,3834,19,172
S01006546,Aberdeen City,6928,*,*
S01006547,Aberdeen City,2085,39,318
S01006548,Aberdeen City,6928,*,*
S01006549,Aberdeen City,5084,8,102
S01006550,Aberdeen City,5324,8,90
S01006551,Aberdeen City,523,49,690
S01006552,Aberdeen City,5052,9,103
S01006553,Aberdeen City,4687,11,123
S01006554,Aberdeen City,923,41,521
S01006555,Aberdeen City,463,54,733
S01006556,Aberdeen City,2882,19,239
S01006557,Aberdeen City,3052,15,224
S01006558,Aberdeen City,4134,9,153
S01006559,Aberdeen City,4464,8,135
S01006560,Aberdeen City,5547,8,80
S01006561,Aberdeen City,3906,12,167
S01006562,Aberdeen City,4252,14,146
S01006563,Aberdeen City,90,95,1406
S01006564,Aberdeen City,2221,30,302
S01006565,Aberdeen City,3067,22,223
S01006566,Aberdeen City,2545,20,266
S01006567,Aberdeen City,1695,27,367
S01006568,Aberdeen City,2570,24,264
S01006569,Aberdeen City,3977,9,162
S01006570,Aberdeen City,4688,9,123
S01006571,Aberdeen City,715,54,589
S01006572,Aberdeen City,4036,15,159
S01006573,Aberdeen City,5882,5,64
S01006574,Aberdeen City,2159,31,309
S01006575,Aberdeen City,4482,13,134
S01006576,Aberdeen City,1411,30,416
S01006577,Aberdeen City,4208,12,149
S01006578,Aberdeen City,3517,21,192
S01006579,Aberdeen City,3656,19,184
S01006580,Aberdeen City,3888,12,168
S01006581,Aberdeen City,6323,4,43
S01006582,Aberdeen City,12,308,3754
S01006583,Aberdeen City,2950,16,233
S01006584,Aberdeen City,2961,14,232
S01006585,Aberdeen City,208,83,999
S01006586,Aberdeen City,15,374,3562
S01006587,Aberdeen City,16,202,3529
S01006588,Aberdeen City,7,272,4351
S01006589,Aberdeen City,89,96,1415
S01006590,Aberdeen City,501,57,708
S01006591,Aberdeen City,2238,22,299
S01006592,Aberdeen City,4431,10,136
S01006593,Aberdeen City,4259,12,145
S01006594,Aberdeen City,3005,12,228
S01006595,Aberdeen City,5654,7,74
S01006596,Aberdeen City,4310,11,142
S01006597,Aberdeen City,665,32,611
S01006598,Aberdeen City,3870,17,169
S01006599,Aberdeen City,2024,26,324
S01006600,Aberdeen City,4375,17,139
S01006601,Aberdeen City,3923,17,166
S01006602,Aberdeen City,6677,*,*
S01006603,Aberdeen City,1098,38,479
S01006604,Aberdeen City,3854,11,171
S01006605,Aberdeen City,1276,34,441
S01006606,Aberdeen City,3734,14,179
S01006607,Aberdeen City,4292,13,143
S01006608,Aberdeen City,3653,30,184
S01006609,Aberdeen City,2254.5,31,298
S01006610,Aberdeen City,4338,6,141
S01006611,Aberdeen City,2426,25,279
S01006612,Aberdeen City,2921,20,236
S01006613,Aberdeen City,3842,10,171
S01006614,Aberdeen City,6266,3,45
S01006615,Aberdeen City,5958,5,60
S01006616,Aberdeen City,6081,4,54
S01006617,Aberdeen City,3533,12,191
S01006618,Aberdeen City,6322,*,*
S01006619,Aberdeen City,5501,7,82
S01006620,Aberdeen City,4579,10,129
S01006621,Aberdeen City,6375,*,*
S01006622,Aberdeen City,6255,3,46
S01006623,Aberdeen City,60,117,1634
S01006624,Aberdeen City,1381,32,420
S01006625,Aberdeen City,567,42,669
S01006626,Aberdeen City,374,55,801
S01006627,Aberdeen City,1592,31,384
S01006628,Aberdeen City,313,89,845
S01006629,Aberdeen City,1272,38,441
S01006630,Aberdeen City,1393,27,419
S01006631,Aberdeen City,550,71,677
S01006632,Aberdeen City,820,46,552
S01006633,Aberdeen City,56,112,1703
S01006634,Aberdeen City,100,83,1331
S01006635,Aberdeen City,736,36,581
S01006636,Aberdeen City,343,66,825
S01006637,Aberdeen City,544,53,682
S01006638,Aberdeen City,438,59,754
S01006639,Aberdeen City,681,56,603
S01006640,Aberdeen City,2794,20,246
S01006641,Aberdeen City,1976,34,330
S01006642,Aberdeen City,638,81,624
S01006643,Aberdeen City,2335,20,290
S01006644,Aberdeen City,2766,28,249
S01006645,Aberdeen City,104,90,1310
S01006646,Aberdeen City,311,73,847
S01006647,Aberdeen City,2027,20,324
S01006648,Aberdeen City,599,112,642
S01006649,Aberdeen City,675,58,605
S01006650,Aberdeen City,576,53,657
S01006651,Aberdeen City,255,63,927
S01006652,Aberdeen City,1896,25,340
S01006653,Aberdeen City,2844,13,242
S01006654,Aberdeen City,1544,34,393
S01006655,Aberdeen City,909,43,526
S01006656,Aberdeen City,1310,43,434
S01006657,Aberdeen City,4,388,7388
S01006658,Aberdeen City,1380,51,421
S01006659,Aberdeen City,4169,9,151
S01006660,Aberdeen City,1169,23,461
S01006661,Aberdeen City,4113,9,154
S01006662,Aberdeen City,1520,35,397
S01006663,Aberdeen City,4660,7,125
S01006664,Aberdeen City,2254.5,17,298
S01006665,Aberdeen City,3068,17,223
S01006666,Aberdeen City,629,63,627
S01006667,Aberdeen City,274,67,891
S01006668,Aberdeen City,2418,25,281
S01006669,Aberdeen City,991,49,504
S01006670,Aberdeen City,1172,39,461
S01006671,Aberdeen City,5221,19,95
S01006672,Aberdeen City,1474,32,405
S01006673,Aberdeen City,1249,38,446
S01006674,Aberdeen City,1375,38,421
S01006675,Aberdeen City,1794,32,354
S01006676,Aberdeen City,467,54,731
S01006677,Aberdeen City,509,51,699
S01006678,Aberdeen City,1524,67,395
S01006679,Aberdeen City,5469,5,82
S01006680,Aberdeen City,2082,28,318
S01006681,Aberdeen City,2592,20,262
S01006682,Aberdeen City,1864,32,345
S01006683,Aberdeen City,1757,33,359
S01006684,Aberdeen City,282,62,879
S01006685,Aberdeen City,647,42,619
S01006686,Aberdeen City,3588,11,188
S01006687,Aberdeen City,3307,15,207
S01006688,Aberdeen City,3416,18,199
S01006689,Aberdeen City,3630,17,185
S01006690,Aberdeen City,4077,9,156
S01006691,Aberdeen City,3975,10,163
S01006692,Aberdeen City,4736,9,121
S01006693,Aberdeen City,1832,33,348
S01006694,Aberdeen City,1229,41,452
S01006695,Aberdeen City,1202,33,457
S01006696,Aberdeen City,1103,38,479
S01006697,Aberdeen City,1640,34,375
S01006698,Aberdeen City,699,47,595
S01006699,Aberdeen City,1867,17,344
S01006700,Aberdeen City,2424,23,280
S01006701,Aberdeen City,716,39,588
S01006702,Aberdeen City,4563.5,10,130
S01006703,Aberdeen City,286,58,877
S01006704,Aberdeen City,827,30,550
S01006705,Aberdeen City,2992,17,228
S01006706,Aberdeen City,2752,15,250
S01006707,Aberdeen City,387,55,789
S01006708,Aberdeen City,3528,15,192
S01006709,Aberdeen City,2447,25,277
S01006710,Aberdeen City,3219,17,212
S01006711,Aberdeen City,2524,25,268
S01006712,Aberdeen City,3107,11,221
S01006713,Aberdeen City,2247,28,298
S01006714,Aberdeen City,3493,14,194
S01006715,Aberdeen City,693,36,598
S01006716,Aberdeen City,305,51,852
S01006717,Aberdeen City,694,58,597
S01006718,Aberdeen City,878,32,537
S01006719,Aberdeen City,4681,11,124
S01006720,Aberdeen City,4301,8,143
S01006721,Aberdeen City,985,48,505
S01006722,Aberdeen City,2171,21,307
